IncidentType,StateAbbreviation,State,Region,Year,Month,Count,Duration
Drought,AL,Alabama,4,1977,7-Jul,67,1.0
Drought,AR,Arkansas,6,1976,12-Dec,32,1.0
Drought,AS,American Samoa,9,1974,9-Sep,5,1.0
Drought,AZ,Arizona,9,1977,4-Apr,8,1.0
Drought,CA,California,9,1977,1-Jan,47,1.0
Drought,CO,Colorado,8,1977,1-Jan,42,1.0
Drought,DE,Delaware,3,1965,8-Aug,3,1.0
Drought,FM,Federated States of Micronesia,9,1992,3-Mar,2,1.0
Drought,FM,Federated States of Micronesia,9,1998,1-Jan,3,157.0
Drought,FM,Federated States of Micronesia,9,2007,3-Mar,1,243.0
Drought,GA,Georgia,4,1977,7-Jul,144,1.0
Drought,IA,Iowa,7,1977,3-Mar,3,1.0
Drought,ID,Idaho,10,1977,5-May,9,1.0
Drought,MH,Marshall Islands,9,1998,1-Jan,25,165.0
Drought,MI,Michigan,5,1977,3-Mar,44,1.0
Drought,MN,Minnesota,5,1976,6-Jun,78,1.0
Drought,MO,Missouri,7,1976,9-Sep,94,1.0
Drought,MT,Montana,8,1977,8-Aug,6,1.0
Drought,NC,North Carolina,4,1977,8-Aug,49,1.0
Drought,ND,North Dakota,8,1976,7-Jul,18,1.0
Drought,NE,Nebraska,7,1977,1-Jan,2,1.0
Drought,NJ,New Jersey,2,1965,8-Aug,21,1.0
Drought,NJ,New Jersey,2,1980,10-Oct,21,1.0
Drought,NM,New Mexico,6,1977,3-Mar,8,1.0
Drought,NV,Nevada,9,1977,6-Jun,5,1.0
Drought,NY,New York,2,1965,8-Aug,14,1.0
Drought,OR,Oregon,10,1977,4-Apr,19,1.0
Drought,PA,Pennsylvania,3,1965,8-Aug,13,1.0
Drought,PR,Puerto Rico,2,1964,5-May,1,1.0
Drought,PR,Puerto Rico,2,1974,8-Aug,24,1.0
Drought,SC,South Carolina,4,1977,8-Aug,31,1.0
Drought,SD,South Dakota,8,1976,6-Jun,60,1.0
Drought,TX,Texas,6,1993,8-Aug,149,78.0
Drought,UT,Utah,8,1977,1-Jan,27,1.0
Drought,VA,Virginia,3,1976,10-Oct,38,1.0
Drought,VA,Virginia,3,1977,7-Jul,62,1.0
Drought,VI,Virgin Islands,2,1964,6-Jun,1,1.0
Drought,VI,Virgin Islands,2,1974,7-Jul,2,1.0
Drought,VI,Virgin Islands,2,1977,6-Jun,3,1.0
Drought,VT,Vermont,5,1963,11-Nov,1,1.0
Drought,VT,Vermont,5,1977,9-Sep,1,1.0
Drought,WA,Washington,10,1977,3-Mar,16,1.0
Drought,WI,Wisconsin,5,1976,6-Jun,66,1.0
Drought,WV,West Virginia,3,1977,1-Jan,12,1.0
Drought,WV,West Virginia,3,1977,8-Aug,9,1.0
Drought,WY,Wyoming,8,1977,6-Jun,4,1.0
Earthquake,AK,Alaska,10,1964,3-Mar,1,1.0
Earthquake,AK,Alaska,10,2002,11-Nov,6,8.0
Earthquake,CA,California,9,1971,2-Feb,1,1.0
Earthquake,CA,California,9,1979,10-Oct,1,1.0
Earthquake,CA,California,9,1983,5-May,1,1.0
Earthquake,CA,California,9,1987,10-Oct,2,51.0
Earthquake,CA,California,9,1989,10-Oct,12,63.0
Earthquake,CA,California,9,1992,4-Apr,1,31.0
Earthquake,CA,California,9,1992,6-Jun,2,126.0
Earthquake,CA,California,9,2000,9-Sep,1,1.0
Earthquake,GU,Guam,9,2001,10-Oct,1,1.0
Earthquake,HI,Hawaii,9,1960,1-Jan,1,1.0
Earthquake,HI,Hawaii,9,1973,5-May,1,1.0
Earthquake,HI,Hawaii,9,1975,12-Dec,1,1.0
Earthquake,ID,Idaho,10,1983,10-Oct,3,90.0
Earthquake,NV,Nevada,9,1954,7-Jul,1,1.0
Earthquake,NY,New York,2,2002,4-Apr,6,1.0
Earthquake,OR,Oregon,10,1993,3-Mar,4,1.0
Earthquake,OR,Oregon,10,1993,9-Sep,1,1.0
Earthquake,WA,Washington,10,1965,5-May,6,1.0
Earthquake,WA,Washington,10,2001,2-Feb,24,17.0
Fire,AK,Alaska,10,1996,6-Jun,1,14.0
Fire,AK,Alaska,10,2004,6-Jun,1,37.0
Fire,AK,Alaska,10,2004,7-Jul,1,50.0
Fire,AK,Alaska,10,2006,6-Jun,1,19.0
Fire,AK,Alaska,10,2006,8-Aug,1,2.0
Fire,AK,Alaska,10,2007,6-Jun,1,18.0
