IncidentType,StateAbbreviation,State,Count,Duration
Drought,AL,Alabama,67,1.0
Drought,AR,Arkansas,32,1.0
Drought,AS,American Samoa,5,1.0
Drought,AZ,Arizona,8,1.0
Drought,CA,California,47,1.0
Drought,CO,Colorado,42,1.0
Drought,DE,Delaware,3,1.0
Drought,FM,Federated States of Micronesia,6,119.33333333333333
Drought,GA,Georgia,144,1.0
Drought,IA,Iowa,3,1.0
Drought,ID,Idaho,9,1.0
Drought,MH,Marshall Islands,25,165.0
Drought,MI,Michigan,44,1.0
Drought,MN,Minnesota,78,1.0
Drought,MO,Missouri,94,1.0
Drought,MT,Montana,6,1.0
Drought,NC,North Carolina,49,1.0
Drought,ND,North Dakota,18,1.0
Drought,NE,Nebraska,2,1.0
Drought,NJ,New Jersey,42,1.0
Drought,NM,New Mexico,8,1.0
Drought,NV,Nevada,5,1.0
Drought,NY,New York,14,1.0
Drought,OR,Oregon,19,1.0
Drought,PA,Pennsylvania,13,1.0
Drought,PR,Puerto Rico,25,1.0
Drought,SC,South Carolina,31,1.0
Drought,SD,South Dakota,60,1.0
Drought,TX,Texas,149,78.0
Drought,UT,Utah,27,1.0
Drought,VA,Virginia,100,1.0
Drought,VI,Virgin Islands,6,1.0
Drought,VT,Vermont,2,1.0
Drought,WA,Washington,16,1.0
Drought,WI,Wisconsin,66,1.0
Drought,WV,West Virginia,21,1.0
Drought,WY,Wyoming,4,1.0
Earthquake,AK,Alaska,7,7.0
Earthquake,CA,California,21,54.523809523809526
Earthquake,GU,Guam,1,1.0
Earthquake,HI,Hawaii,3,1.0
Earthquake,ID,Idaho,3,90.0
Earthquake,NV,Nevada,1,1.0
Earthquake,NY,New York,6,1.0
Earthquake,OR,Oregon,5,1.0
Earthquake,WA,Washington,30,13.8
Fire,AK,Alaska,8,20.375
Fire,AL,Alabama,3,4.0
Fire,AZ,Arizona,46,13.130434782608695
Fire,CA,California,200,26.7
Fire,CO,Colorado,111,61.85585585585586
Fire,FL,Florida,124,49.75806451612903
Fire,FM,Federated States of Micronesia,1,1.0
Fire,GA,Georgia,5,43.0
Fire,HI,Hawaii,15,6.133333333333334
Fire,ID,Idaho,34,31.735294117647058
Fire,KS,Kansas,2,2.0
Fire,KY,Kentucky,6,20.0
Fire,LA,Louisiana,11,15.0
Fire,MA,Massachusetts,3,4.333333333333333
Fire,MH,Marshall Islands,1,1.0
Fire,MI,Michigan,1,5.0
Fire,MN,Minnesota,6,13.333333333333334
Fire,MO,Missouri,1,5.0
Fire,MT,Montana,72,55.52777777777778
Fire,ND,North Dakota,1,5.0
Fire,NE,Nebraska,6,17.666666666666668
Fire,NH,New Hampshire,1,1.0
Fire,NJ,New Jersey,22,1.0
Fire,NM,New Mexico,101,41.772277227722775
Fire,NV,Nevada,44,5.886363636363637
Fire,NY,New York,1,1.0
Fire,OK,Oklahoma,125,84.32
Fire,OR,Oregon,23,15.565217391304348
Fire,PR,Puerto Rico,5,4.0
Fire,SC,South Carolina,2,14.0
Fire,SD,South Dakota,12,9.916666666666666
