Name,Disaster,BeginDate,EndDate,Cost,Deaths,Year,disasterType,impactScale
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,20171231,3,0,2017,1,0
Midwest Severe Weather (June 2017),Severe Storm,20170627,20170629,1,0,2017,4,0
Midwest Severe Weather (June 2017),Severe Storm,20170612,20170616,2,0,2017,4,0
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,20170609,20170611,2,0,2017,4,0
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,20170508,20170511,3,0,2017,4,0
South/Southeast Severe Weather (March 2017),Severe Storm,20170326,20170328,3,0,2017,4,0
Southeast Freeze (March 2017),Freeze,20170314,20170316,1,0,2017,3,0
West/Northeast/Southeast Drought (2016),Drought,20160101,20161231,4,0,2016,1,0
Rockies and Northeast Severe Weather (July 2016),Severe Storm,20160728,20160730,2,0,2016,4,0
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,20160521,20160526,1,0,2016,4,0
North/Central Texas Hail Storm (April 2016),Severe Storm,20160410,20160412,4,0,2016,4,0
North Texas Hail Storm (March 2016),Severe Storm,20160323,20160324,2,0,2016,4,0
Western Drought (2015),Drought,20150101,20151231,5,0,2015,1,0
South/Southeast Severe Weather (April 2015),Severe Storm,20150418,20150420,1,0,2015,4,0
Western Drought (2014),Drought,20140101,20141231,4,0,2014,1,0
Rockies/Plains Severe Weather (September 2014),Severe Storm,20140929,20141002,1,0,2014,4,0
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,20140518,20140523,4,0,2014,4,0
Plains Severe Weather (April 2014),Severe Storm,20140402,20140403,2,0,2014,4,0
Midwest Severe Weather (August 2013),Severe Storm,20130806,20130807,1,0,2013,4,0
Rockies/Southwest Severe Weather (June 2012),Severe Storm,20120606,20120612,3,0,2012,4,0
Texas Tornadoes (April 2012),Severe Storm,20120402,20120403,1,0,2012,4,0
Midwest/Southeast Severe Weather (August 2011),Severe Storm,20110817,20110818,1,0,2011,4,0
